DateTime,SpConductivity
2017-09-24 23:32:36,436.18
2017-09-24 23:46:41,437.14
2017-09-25 00:02:16,437.94
2017-09-25 00:17:26,439.24
2017-09-25 00:32:36,440.21
2017-09-25 00:46:41,441.07
2017-09-25 01:02:16,442.01
2017-09-25 01:17:26,442.94
2017-09-25 01:32:36,443.89
2017-09-25 01:46:41,444.47
2017-09-25 02:02:16,445.15
2017-09-25 02:17:26,445.71
2017-09-25 02:32:36,446.16
2017-09-25 02:46:41,446.47
2017-09-25 03:02:16,446.89
2017-09-25 03:17:26,447.28
2017-09-25 03:32:36,447.81
2017-09-25 03:46:41,448.42
2017-09-25 04:02:16,448.63
2017-09-25 04:17:26,448.89
2017-09-25 04:32:36,449.1
2017-09-25 04:46:41,448.91
2017-09-25 05:02:16,449.0
2017-09-25 05:17:26,449.2
2017-09-25 05:32:36,449.83
2017-09-25 05:46:41,450.14
2017-09-25 06:02:16,450.25
2017-09-25 06:17:26,450.51
2017-09-25 06:32:36,450.56
2017-09-25 06:46:41,450.87
2017-09-25 07:02:16,451.23
2017-09-25 07:17:26,451.31
2017-09-25 07:32:36,451.56
2017-09-25 07:46:41,451.68
2017-09-25 08:02:16,452.05
2017-09-25 08:17:26,452.5
2017-09-25 08:32:36,452.58
2017-09-25 08:46:41,452.74
2017-09-25 09:02:16,452.91
2017-09-25 09:17:26,453.11
2017-09-25 09:32:36,453.29
2017-09-25 09:46:41,453.48
2017-09-25 10:02:16,453.92
2017-09-25 10:17:26,454.14
2017-09-25 10:32:36,454.4
2017-09-25 10:46:41,454.64
2017-09-25 11:02:16,455.01
2017-09-25 11:17:26,455.11
2017-09-25 11:32:36,455.36
2017-09-25 11:46:41,455.34
2017-09-25 12:02:16,455.75
2017-09-25 12:17:26,455.92
2017-09-25 12:32:36,456.08
2017-09-25 12:46:41,456.14
2017-09-25 13:02:16,456.43
2017-09-25 13:17:26,456.34
2017-09-25 13:32:36,456.27
2017-09-25 13:46:41,456.09
2017-09-25 14:02:16,455.79
2017-09-25 14:17:26,455.61
2017-09-25 14:32:36,455.08
2017-09-25 14:46:41,454.75
2017-09-25 15:02:16,454.35
2017-09-25 15:17:26,454.2
2017-09-25 15:32:36,453.78
2017-09-25 15:46:41,453.42
2017-09-25 16:02:16,453.24
2017-09-25 16:17:26,452.89
2017-09-25 16:32:36,452.72
2017-09-25 16:46:41,452.47
2017-09-25 17:02:16,452.62
2017-09-25 17:17:26,452.55
2017-09-25 17:32:36,452.7
2017-09-25 17:46:41,452.99
2017-09-25 18:02:16,453.28
2017-09-25 18:17:26,453.43
2017-09-25 18:32:36,453.27
2017-09-25 18:46:41,452.97
2017-09-25 19:02:16,452.48
2017-09-25 19:17:26,452.18
2017-09-25 19:32:36,451.65
2017-09-25 19:46:41,450.82
2017-09-25 20:02:16,450.02
2017-09-25 20:17:26,449.26
2017-09-25 20:32:36,448.88
2017-09-25 20:46:41,448.62
2017-09-25 21:02:16,448.4
2017-09-25 21:17:26,448.06
2017-09-25 21:32:36,447.88
2017-09-25 21:46:41,448.03
2017-09-25 22:02:16,448.19
2017-09-25 22:17:26,448.49
2017-09-25 22:32:36,449.1
2017-09-25 22:46:41,449.49
2017-09-25 23:02:16,450.09
2017-09-25 23:17:26,450.5
2017-09-25 23:32:36,451.03
2017-09-25 23:46:41,451.41
2017-09-26 00:02:16,451.94
2017-09-26 00:17:26,451.66
2017-09-26 00:32:36,452.03
2017-09-26 00:46:41,452.44
2017-09-26 01:02:16,452.52
2017-09-26 01:17:26,453.47
2017-09-26 01:32:36,454.05
2017-09-26 01:46:41,454.62
2017-09-26 02:02:16,454.77
2017-09-26 02:17:26,455.24
2017-09-26 02:32:36,455.35
2017-09-26 02:46:41,455.53
2017-09-26 03:02:16,455.75
2017-09-26 03:17:26,455.91
2017-09-26 03:32:36,456.35
2017-09-26 03:46:41,456.56
2017-09-26 04:02:16,456.77
2017-09-26 04:17:26,457.05
2017-09-26 04:32:36,457.1
2017-09-26 04:46:41,457.28
2017-09-26 05:02:16,457.33
2017-09-26 05:17:26,457.36
2017-09-26 05:32:36,457.31
2017-09-26 05:46:41,457.38
2017-09-26 06:02:16,457.52
2017-09-26 06:17:26,457.45
2017-09-26 06:32:36,457.51
2017-09-26 06:46:41,457.43
2017-09-26 07:02:16,457.37
2017-09-26 07:17:26,457.29
2017-09-26 07:32:36,457.0
2017-09-26 07:46:41,457.06
2017-09-26 08:02:16,457.0
2017-09-26 08:17:26,457.39
2017-09-26 08:32:36,457.3
2017-09-26 08:46:41,456.92
2017-09-26 09:02:16,457.02
2017-09-26 09:17:26,457.17
2017-09-26 09:32:36,457.31
2017-09-26 09:46:41,457.63
2017-09-26 10:02:16,457.8
2017-09-26 10:17:26,458.11
2017-09-26 10:32:36,458.58
2017-09-26 10:46:41,459.19
2017-09-26 11:02:16,459.67
2017-09-26 11:17:26,459.92
2017-09-26 11:32:36,459.97
2017-09-26 11:46:41,460.44
2017-09-26 12:02:16,460.68
2017-09-26 12:17:26,460.84
2017-09-26 12:32:36,461.02
2017-09-26 12:46:41,461.02
2017-09-26 13:02:16,461.15
2017-09-26 13:17:26,461.09
2017-09-26 13:32:36,461.02
2017-09-26 13:46:41,461.06
2017-09-26 14:02:16,461.13
2017-09-26 14:17:26,460.91
2017-09-26 14:32:36,460.67
2017-09-26 14:46:41,460.58
2017-09-26 15:02:16,460.56
2017-09-26 15:17:26,460.62
2017-09-26 15:32:36,460.8
2017-09-26 15:46:41,460.94
2017-09-26 16:02:16,460.96
2017-09-26 16:17:26,461.16
2017-09-26 16:32:36,461.39
2017-09-26 16:46:41,461.59
2017-09-26 17:02:16,461.74
2017-09-26 17:17:26,461.97
2017-09-26 17:32:36,462.01
2017-09-26 17:46:41,462.19
2017-09-26 18:02:16,462.37
2017-09-26 18:17:26,462.54
2017-09-26 18:32:36,462.66
2017-09-26 18:46:41,462.83
2017-09-26 19:02:16,462.89
2017-09-26 19:17:26,463.08
2017-09-26 19:32:36,462.92
2017-09-26 19:46:41,463.07
2017-09-26 20:02:16,463.25
2017-09-26 20:17:26,463.3
2017-09-26 20:32:36,463.29
2017-09-26 20:46:41,463.06
2017-09-26 21:02:16,462.7
2017-09-26 21:17:26,462.58
2017-09-26 21:32:36,462.37
2017-09-26 21:46:41,462.36
2017-09-26 22:02:16,462.36
2017-09-26 22:17:26,462.32
2017-09-26 22:32:36,462.06
2017-09-26 22:46:41,462.03
2017-09-26 23:02:16,461.84
2017-09-26 23:17:26,461.94
2017-09-26 23:32:36,461.86
2017-09-26 23:46:41,461.97
2017-09-27 00:02:16,461.86
2017-09-27 00:17:26,461.74
2017-09-27 00:32:36,461.84
2017-09-27 00:46:41,462.12
2017-09-27 01:02:16,461.07
2017-09-27 01:17:26,461.04
2017-09-27 01:32:36,460.98
2017-09-27 01:46:41,461.02
2017-09-27 02:02:16,460.94
2017-09-27 02:17:26,460.87
2017-09-27 02:32:36,460.83
2017-09-27 02:46:41,460.53
2017-09-27 03:02:16,460.39
2017-09-27 03:17:26,460.37
2017-09-27 03:32:36,460.14
2017-09-27 03:46:41,459.96
2017-09-27 04:02:16,459.56
2017-09-27 04:17:26,459.28
2017-09-27 04:32:36,459.21
2017-09-27 04:46:41,459.51
2017-09-27 05:02:16,459.71
2017-09-27 05:17:26,460.01
2017-09-27 05:32:36,460.23
2017-09-27 05:46:41,460.52
2017-09-27 06:02:16,460.88
2017-09-27 06:17:26,460.8
2017-09-27 06:32:36,461.04
2017-09-27 06:46:41,461.05
2017-09-27 07:02:16,460.71
2017-09-27 07:17:26,460.6
2017-09-27 07:32:36,460.43
2017-09-27 07:46:41,460.4
2017-09-27 08:02:16,460.43
2017-09-27 08:17:26,460.48
2017-09-27 08:32:36,460.82
2017-09-27 08:46:41,460.83
2017-09-27 09:02:16,460.51
2017-09-27 09:17:26,460.56
2017-09-27 09:32:36,460.58
2017-09-27 09:46:41,460.75
2017-09-27 10:02:16,461.01
2017-09-27 10:17:26,461.31
2017-09-27 10:32:36,461.56
2017-09-27 10:46:41,461.81
2017-09-27 11:02:16,461.77
2017-09-27 11:17:26,461.87
2017-09-27 11:32:36,462.19
2017-09-27 11:46:41,461.97
2017-09-27 12:02:16,462.27
2017-09-27 12:17:26,462.09
2017-09-27 12:32:36,461.93
2017-09-27 12:46:41,461.82
2017-09-27 13:02:16,461.58
2017-09-27 13:17:26,461.57
2017-09-27 13:32:36,461.45
2017-09-27 13:46:41,461.42
2017-09-27 14:02:16,461.52
2017-09-27 14:17:26,461.56
2017-09-27 14:32:36,461.75
2017-09-27 14:46:41,461.81
2017-09-27 15:02:16,461.76
2017-09-27 15:17:26,461.93
2017-09-27 15:32:36,462.0
2017-09-27 15:46:41,462.09
2017-09-27 16:02:16,462.13
2017-09-27 16:17:26,461.99
2017-09-27 16:32:36,462.07
2017-09-27 16:46:41,461.91
2017-09-27 17:02:16,461.86
2017-09-27 17:17:26,461.65
2017-09-27 17:32:36,461.64
2017-09-27 17:46:41,461.39
2017-09-27 18:02:16,461.52
2017-09-27 18:17:26,461.61
2017-09-27 18:32:36,461.8
2017-09-27 18:46:41,462.06
2017-09-27 19:02:16,462.29
2017-09-27 19:17:26,462.41
2017-09-27 19:32:36,462.64
2017-09-27 19:46:41,462.63
2017-09-27 20:02:16,462.82
2017-09-27 20:17:26,462.92
2017-09-27 20:32:36,462.95
2017-09-27 20:46:41,463.19
2017-09-27 21:02:16,463.19
2017-09-27 21:17:26,463.43
2017-09-27 21:32:36,463.44
2017-09-27 21:46:41,463.5
2017-09-27 22:02:16,463.49
2017-09-27 22:17:26,463.48
2017-09-27 22:32:36,463.63
2017-09-27 22:46:41,463.75
2017-09-27 23:02:16,463.75
2017-09-27 23:17:26,463.64
2017-09-27 23:32:36,463.57
2017-09-27 23:46:41,463.54
2017-09-28 00:02:16,463.53
2017-09-28 00:17:26,463.42
2017-09-28 00:32:36,463.49
2017-09-28 00:46:41,463.57
2017-09-28 01:02:16,463.55
2017-09-28 01:17:26,463.51
2017-09-28 01:32:36,463.49
2017-09-28 01:46:41,463.59
2017-09-28 02:02:16,463.59
2017-09-28 02:17:26,463.51
2017-09-28 02:32:36,463.54
2017-09-28 02:46:41,463.56
2017-09-28 03:02:16,462.64
2017-09-28 03:17:26,462.66
2017-09-28 03:32:36,462.67
2017-09-28 03:46:41,462.68
2017-09-28 04:02:16,462.87
2017-09-28 04:17:26,462.97
2017-09-28 04:32:36,462.83
2017-09-28 04:46:41,462.69
2017-09-28 05:02:16,462.77
2017-09-28 05:17:26,462.54
2017-09-28 05:32:36,462.46
2017-09-28 05:46:41,462.39
2017-09-28 06:02:16,462.26
2017-09-28 06:17:26,462.38
2017-09-28 06:32:36,462.4
2017-09-28 06:46:41,462.44
2017-09-28 07:02:16,462.56
2017-09-28 07:17:26,462.4
2017-09-28 07:32:36,462.23
2017-09-28 07:46:41,461.99
2017-09-28 08:02:16,461.99
2017-09-28 08:17:26,462.15
2017-09-28 08:32:36,462.08
2017-09-28 08:46:41,461.98
2017-09-28 09:02:16,461.75
2017-09-28 09:17:26,461.7
2017-09-28 09:32:36,461.71
